,Series,Contestant,Points Per Task,Total Points,Total Tasks,Percentage of Total Points Won,Total Episodes,Total Points In Series,Total Prize Task Points,Prize Task Points Per Ep,% of Points From Prize Tasks,Subjective Task Points,Subjective Tasks,Percentage of subjective tasks in show,Subjective Task Average Score,Subjective Points Not Including Prize Tasks,% of Points From Subjective Tasks,Objective Task Points,Objective Tasks,Objective Task Average Score,% of points from objective tasks,Fastest Wins Tasks,"Points from ""Fastest Wins"" Tasks",Points Per Fastest Wins Task,Fastest Wins Task Wins,Difference Between Subjective and Objective Task Scores,Average Point Total Excluding Live Tasks,Average Point Total Excluding Prize Tasks,Total Live Task Points,Live Task Points Per Ep,Live Task Wins (Solo),Live Solo Tasks,Percentage of Live Tasks Won,% of points from Live Tasks,% of points from studio tasks (prize and live),Total Studio Points,Points Scored In Studio Per Episode,Total Bonus Points,Total Episode Wins,Gender,Points Per Subjective Task Per Series,Total Subjective Points in Series,Predicted Total Subjective Points In Series,Date of birth,Star sign,First ep of series broadcast date,Age at first show broadcast date,Seat Position,Height in cm,Syllables in name,Number of Times They Said Fuck,Points Scored In Studio,Number of tasks in Studio,Points Per Studio Task
78,16,Sam Campbell,3.22,161,50,22.33%,10,721,28,2.80,17.39%,72,23,46.00%,3.13,3.38,44.72%,89,27,3.30,55.28%,11,36,3.27,2,-0.17,3.10,3.33,37,3.70,3,8,37.50%,22.98%,40.37%,65,6.50,0,2,M,3.18,366,342.5,19-Sep-1992,Virgo,21-Sep-2023,31,3,171,3,6,67,21,3.19
79,16,Sue Perkins,2.74,137,50,19.00%,10,721,36,3.60,26.28%,84,23,46.00%,3.65,3.69,61.31%,53,27,1.96,38.69%,11,18,1.64,1,1.69,2.75,2.53,27,2.70,1,8,12.50%,19.71%,45.99%,63,6.30,0,3,F,3.18,366,342.5,22-Sep-1969,Virgo,21-Sep-2023,53,4,166,3,1,68,21,3.24
80,16,Susan Wokoma,2.78,139,50,19.28%,10,721,28,2.80,20.14%,74,23,46.00%,3.22,3.54,53.24%,65,27,2.41,46.76%,11,31,2.82,2,0.81,2.80,2.78,27,2.70,2,8,25.00%,19.42%,39.57%,55,5.50,0,1,F,3.18,366,342.5,31-Dec-1987,Capricorn,21-Sep-2023,35,5,163,5,2,58,21,2.76
81,17,Joanne McNally,3.42,171,50,21.62%,10,791,30,3.00,17.54%,83,26,52.00%,3.19,3.31,48.54%,88,24,3.67,51.46%,8,29,3.63,4,-0.47,3.45,3.53,33,3.30,3,8,37.50%,19.30%,36.84%,63,6.30,3,1,F,3.22,419,382.5,07-May-1983,Taurus,28-Mar-2024,40,1,171.7,5,17,63,20,3.15
82,17,John Robins,3.84,192,50,24.27%,10,791,32,3.20,16.67%,95,26,52.00%,3.65,3.94,49.48%,97,24,4.04,50.52%,8,28,3.50,2,-0.39,3.83,4.00,39,3.90,2,8,25.00%,20.31%,36.98%,71,7.10,3,5,M,3.22,419,382.5,04-May-1982,Taurus,28-Mar-2024,41,2,180,3,7,71,20,3.55
83,17,Nick Mohammed,2.62,131,50,16.56%,10,791,26,2.60,19.85%,75,26,52.00%,2.88,3.06,57.25%,56,24,2.33,42.75%,8,15,1.88,1,0.55,2.65,2.63,25,2.50,1,8,12.50%,19.08%,38.93%,51,5.10,2,1,M,3.22,419,382.5,04-Oct-1980,Libra,28-Mar-2024,43,3,164,4,0,51,20,2.55
84,17,Sophie Willan,2.88,144,50,18.20%,10,791,27,2.70,18.75%,74,26,52.00%,2.85,2.94,51.39%,70,24,2.92,48.61%,8,21,2.63,2,-0.07,2.90,2.93,28,2.80,1,8,12.50%,19.44%,38.19%,55,5.50,3,1,F,3.22,419,382.5,21-Oct-1987,Libra,28-Mar-2024,36,4,162.56,4,14,55,20,2.75
85,17,Steve Pemberton,3.06,153,50,19.34%,10,791,39,3.90,25.49%,93,26,52.00%,3.58,3.38,60.78%,60,24,2.50,39.22%,8,20,2.50,2,1.08,3.20,2.85,25,2.50,1,8,12.50%,16.34%,41.83%,64,6.40,2,2,M,3.22,419,382.5,01-Sep-1967,Virgo,28-Mar-2024,56,5,175,4,5,64,20,3.20
86,18,Andy Zaltzman,3.20,160,50,21.25%,10,753,38,3.80,23.75%,71,20,40.00%,3.55,3.30,44.38%,89,30,2.97,55.63%,11,40,3.64,4,0.58,3.38,3.05,25,2.50,3,8,37.50%,15.63%,39.38%,63,6.30,0,3,M,3.24,324,295,06-Oct-1974,Libra,12-Sep-2024,49,1,178,4,7,,,
87,18,Babatunde Aléshé,2.94,147,50,19.52%,10,753,23,2.30,15.65%,56,20,40.00%,2.80,3.30,38.10%,91,30,3.03,61.90%,11,38,3.45,4,-0.23,3.15,3.10,21,2.10,1,8,12.50%,14.29%,29.93%,44,4.40,5,1,M,3.24,324,295,02-Aug-1986,Leo,12-Sep-2024,38,2,171,7,0,,,
88,18,Emma Sidi,3.04,152,50,20.19%,10,753,35,3.50,23.03%,64,20,40.00%,3.20,2.90,42.11%,88,30,2.93,57.89%,11,37,3.36,5,0.27,3.30,2.93,20,2.00,0,8,0.00%,13.16%,36.18%,55,5.50,1,4,F,3.24,324,295,05-Feb-1991,Aquarius,12-Sep-2024,33,3,167,4,7,,,
89,18,Jack Dee,3.14,157,50,20.85%,10,753,30,3.00,19.11%,67,20,40.00%,3.35,3.70,42.68%,90,30,3.00,57.32%,11,30,2.73,2,0.35,3.23,3.18,28,2.80,3,8,37.50%,17.83%,36.94%,58,5.80,4,1,M,3.24,324,295,24-Sep-1961,Virgo,12-Sep-2024,62,4,169,2,1,,,
90,18,Rosie Jones,2.74,137,50,18.19%,10,753,36,3.60,26.28%,66,20,40.00%,3.30,3.00,48.18%,71,30,2.37,51.82%,11,28,2.55,0,0.93,2.95,2.53,19,1.90,1,8,12.50%,13.87%,40.15%,55,5.50,0,1,F,3.24,324,295,24-Jun-1990,Cancer,12-Sep-2024,34,5,164,3,16,,,
91,19,Fatiha El-Ghorri,2.82,141,50,18.48%,10,763,23,2.30,16.31%,60,23,46.00%,2.61,2.85,42.55%,81,27,3.00,57.45%,10,40,4.00,5,-0.39,2.90,2.95,25,2.50,1,7,14.29%,17.73%,34.04%,48,4.80,0,1,F,3.15,362,345,19-Apr-1981,Aries,1-May-2025,44,1,165,6,5,,,
92,19,Jason Mantzoukas,3.00,150,50,19.66%,10,763,37,3.70,24.67%,79,23,46.00%,3.43,3.23,52.67%,71,27,2.63,47.33%,10,20,2.00,1,0.81,3.03,2.83,29,2.90,2,7,28.57%,19.33%,44.00%,66,6.60,1,2,M,3.15,362,345,18-Dec-1972,Sagittarius,1-May-2025,52,2,178,5,15,,,
93,19,Mathew Baynton,3.38,169,50,22.15%,10,763,37,3.70,21.89%,86,23,46.00%,3.74,3.77,50.89%,83,27,3.07,49.11%,10,36,3.60,3,0.67,3.40,3.30,33,3.30,1,7,14.29%,19.53%,41.42%,70,7.00,0,4,M,3.15,362,345,18-Nov-1980,Scorpio,1-May-2025,44,3,178,4,7,,,
94,19,Rosie Ramsey,2.98,149,50,19.53%,10,763,26,2.60,17.45%,63,23,46.00%,2.74,2.85,42.28%,86,27,3.19,57.72%,10,31,3.10,3,-0.45,3.00,3.08,29,2.90,0,7,0.00%,19.46%,36.91%,55,5.50,0,1,F,3.15,362,345,30-Aug-1986,Virgo,1-May-2025,38,4,164,4,6,,,
95,19,Stevie Martin,3.08,154,50,20.18%,10,763,28,2.80,18.18%,74,23,46.00%,3.22,3.54,48.05%,80,27,2.96,51.95%,10,29,2.90,3,0.25,3.00,3.15,34,3.40,3,7,42.86%,22.08%,40.26%,62,6.20,0,2,F,3.15,362,345,12-May-1988,Taurus,1-May-2025,36,5,173,4,19,,,
96,20,Ania Magliano,3.02,151,50,20.30%,10,744,34,3.40,22.52%,83,24,48.00%,3.46,3.50,54.97%,68,26,2.62,45.03%,6,21,3.50,2,0.84,3.15,2.93,25,2.50,4,9,44.44%,16.56%,39.07%,59,5.90,0,2,F,3.34,401,350,17-Feb-1998,Aquarius,11-Sep-2025,27,1,168,5,5,,,
97,20,Maisie Adam,3.02,151,50,20.30%,10,744,41,4.10,27.15%,79,24,48.00%,3.29,2.71,52.32%,72,26,2.77,47.68%,6,19,3.17,2,0.52,3.15,2.75,25,2.50,1,9,11.11%,16.56%,43.71%,66,6.60,1,3,F,3.34,401,350,24-Jan-1994,Aquarius,11-Sep-2025,31,2,180,4,21,,,
98,20,Phil Ellis,3.02,151,50,20.30%,10,744,27,2.70,17.88%,76,24,48.00%,3.17,3.50,50.33%,75,26,2.88,49.67%,6,15,2.50,0,0.28,3.13,3.10,26,2.60,2,9,22.22%,17.22%,35.10%,53,5.30,0,3,M,3.34,401,350,01-Jan-1981,NA,11-Sep-2025,44,3,176,3,9,,,
99,20,Reece Shearsmith,2.96,148,50,19.89%,10,744,32,3.20,21.62%,89,24,48.00%,3.71,4.07,60.14%,59,26,2.27,39.86%,6,14,2.33,1,1.44,2.90,2.90,32,3.20,1,9,11.11%,21.62%,43.24%,64,6.40,6,1,M,3.34,401,350,27-Aug-1969,Virgo,11-Sep-2025,56,4,169,3,4,,,
100,20,Sanjeev Bhaskar,2.86,143,50,19.22%,10,744,29,2.90,20.28%,76,24,48.00%,3.17,3.36,53.15%,67,26,2.58,46.85%,6,19,3.17,2,0.59,3.08,2.85,20,2.00,0,9,0.00%,13.99%,34.27%,49,4.90,1,0,M,3.34,401,350,31-Oct-1963,Scorpio,11-Sep-2025,61,5,165,4,1,,,
,21,Amy Gledhill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03-Nov-1987,Scorpio,1-May-2026,38,1,168,4,,,,
,21,Armando Iannucci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28-Nov-1963,Sagittarius,1-May-2026,62,2,165,7,,,,
,21,Joanna Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-Mar-1977,Aries,1-May-2026,49,3,158,4,,,,
,21,Joel Dommett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08-Jun-1985,Gemini,1-May-2026,40,4,182,3,,,,
,21,Kumail Nanjiani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-May-1978,Taurus,1-May-2026,47,5,174,6,,,,
